"ID","school","grade","class","L11","L12","L13","L24","L25","L26","L37","L38","L39","R11","R12","R13","R14","R15","R16","R27","R28","R29","R210","R211","R212","R213","R214","R215"
"105HCH01B0305004","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"105HCH01B0305005","Θ","","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"105HCH01B0305006","Θ","","5",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305007","Θ","","5",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305008","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"105HCH01B0305009","Θ","","5",1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
"105HCH01B0305010","Θ","","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"105HCH01B0305011","Θ","","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305012","Θ","","5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305013","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305014","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305015","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"105HCH01B0305016","Θ","","5",1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"105HCH01B0305017","Θ","","5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
